path,type,size_bytes,compressed_size_bytes,sha256,hash_error,nested_error_code,nested_error
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/params_mmcboot.bin,file,16384,,59e395781a1251de4ca9bc3311bbf43e753699ec158b77c20e5f603bb6599172,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/params_recovery.bin,file,16384,,58aa7fa5cf5a44f1102f7b52dfbb463058efb4803b08dc96ee690e50e9cf21db,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/params_recovery_vboot.bin,file,16384,,299363ff139ad36aab8dca904f37f0d860a5a1c3a4789b5172a17d690ba98c98,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/params_sdboot.bin,file,16384,,73e340e1c62244d64cb7a47952909ec0641c071996cb00505cca5d20fd05ce6f,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/params_sdvboot.bin,file,16384,,86700dd91f18f4f837265995739db481ff876e5247f3819bcb73cab7220d967d,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/params_vboot.bin,file,16384,,24ea53bb64c32173431ca908ac1b4f864abd5e8b9f6937066bd2a4306c7c2bfe,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/partition.txt,file,22,,38d173ec7421fed7bce76c705831b87eec1473d5003aa3091c209f189383b486,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/partmap_emmc.txt,file,622,,6ab0bd3b6b17f58b490032acb92ba877ea46d26356d6ed0b48ba852c3edc784c,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/rootfs.img,file,2356150272,,eb8ef767a545d39946ff684a9cb131cc4b896bc8b73d9c57b15ff282731cf886,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/s5p6818-artik710-explorer.dtb,file,47761,,4d1c2b24d7f446ad6476f024158c6d3a8ed97519c73597c39b8d3e3c44250b8f,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/s5p6818-artik710-raptor-rev00.dtb,file,52846,,e584627d3a552884c1e9d252db1b1dea8723d478ee15942e5287bcd617cf2489,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/s5p6818-artik710-raptor-rev01.dtb,file,52896,,1aa2e097128eb4d12dc0cbcf4acff351f9d2c82eefc517113604eecaa5f4994c,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/s5p6818-artik710-raptor-rev03.dtb,file,51310,,092a330b5609da630759c7394c1f675a728626f756cc175a3aa5c9f50d02d964,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/sd_boot.img,file,3031552,,e06aee7489c41bf1f9a33dcda9024e938af8ad2067b44c7d766a6709009abf0c,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/sd_boot_sdboot.img,file,3031552,,1fc9927d1d960dd8aa3d26065f261da628a89791d3233147453fb05f5b1c477c,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/u-boot,file,4695352,,267588d48caabe640407dd632a970233e3cce13c5cd64bcc72abf4e38d32bb2f,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/u-boot.bin,file,506384,,11fa7fa679322e649b61148d90b843221e1084cb3f6a4d4b71f5474e3db99ce8,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/uInitrd,file,2423560,,d76bf4c92de1ae2b47bfe257d49ccf600a97a64249c0cb4dbe5bb9dfe7ae63de,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/usb-downloader,file,48624,,e373f6e2521273092ebf89f2a3cbc177c4c4761b2c37b7badba6747d76f20ffe,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/usb_recovery.sh,file,1965,,7b9fb7fcad66f35e03287f5fbe3322938738d917152919364f0d3b1e83238966,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/vmlinux,file,185153256,,20dae47b80d93a60537eab8958ae7d7c2869b3af005f891e324e55a6c1cf93da,,,
4.0.0.98-artik710s-dev.zip/index.html,file,678,371,,,,
4.0.0.98-artik710s-dev.zip/new_sbom_report.json,file,51126,5184,,,,
